name,counts
高中/应届年,371
硕士/应届年,71
本科/应届年,1163
大专/应届年,4771
博士/应届年,9
中专/应届年,510
高中/1年,351
硕士/1年,677
本科/1年,18224
大专/1年,19563
博士/1年,45
中专/1年,800
不限/1年,4489
高中/2年,213
硕士/2年,772
本科/2年,23638
大专/2年,18972
博士/2年,23
中专/2年,496
不限/2年,6532
高中/3年,38
硕士/3年,1932
本科/3年,36312
大专/3年,18154
博士/3年,54
中专/3年,149
不限/3年,4973
高中/4年,45
硕士/4年,419
本科/4年,16863
大专/4年,9792
博士/4年,12
中专/4年,121
不限/4年,4585
高中/5年,51
硕士/5年,1677
本科/5年,28490
大专/5年,10055
博士/5年,46
中专/5年,95
不限/5年,3058
硕士/6年,29
本科/6年,479
大专/6年,71
不限/6年,43
高中/7年,4
硕士/7年,183
本科/7年,6128
大专/7年,2310
博士/7年,11
中专/7年,16
不限/7年,1510
高中/8年,2
硕士/8年,43
本科/8年,1254
大专/8年,126
博士/8年,3
中专/8年,1
不限/8年,172
硕士/9年,21
本科/9年,489
大专/9年,119
不限/9年,110
硕士/10年,374
本科/10年,5715
大专/10年,1167
博士/10年,31
中专/10年,3
不限/10年,467
高中/不限年,2680
硕士/不限年,2729
本科/不限年,34185
大专/不限年,73984
博士/不限年,161
中专/不限年,6364
不限/不限年,168805
