state,value
北京,89403
西安,11846
南京,18279
广州,34784
深圳,52905
成都,23897
杭州,29262
武汉,18214
合肥,9396
上海,73269
佛山,2625
厦门,5935
桂林,194
福州,5166
乌鲁木齐,479
无锡,5700
苏州,8956
大连,6390
秦皇岛,570
济南,8287
长沙,8193
哈尔滨,3362
遂宁,53
宁波,2829
重庆,7325
沈阳,6534
昆山,1756
南昌,3467
临沂,598
日照,309
南宁,1998
郑州,10917
贵阳,2151
长春,3887
太原,2793
珠海,2706
天津,8009
烟台,1761
东营,324
常州,2064
昆明,2157
滨州,173
东莞,3027
兰州,802
石家庄,3792
咸阳,153
柳州,276
黔东南,38
南通,1022
嘉兴,910
普洱,18
徐州,1211
青岛,5242
金华,452
温州,799
邯郸,579
凉山,35
中山,1071
包头,297
呼和浩特,1071
芜湖,533
洛阳,1064
宿迁,360
泰安,520
镇江,597
淮安,571
连云港,458
盐城,463
扬州,674
泰州,414
泉州,497
淄博,688
济宁,612
枣庄,190
德州,187
威海,432
莆田,98
漳州,129
保定,1007
潍坊,859
聊城,303
莱芜,130
菏泽,174
海口,875
新乡,595
绍兴,343
廊坊,716
邢台,463
张家口,314
承德,240
运城,269
长治,147
临汾,240
吕梁,85
晋城,164
朔州,78
忻州,78
大同,221
晋中,288
唐山,639
吉林,404
平顶山,522
九江,80
葫芦岛,100
沧州,300
锦州,153
衡水,239
商丘,527
开封,567
铜陵,44
鹤岗,41
马鞍山,182
鞍山,397
盘锦,147
涿州,8
乌海,71
上饶,97
银川,483
丽江,16
驻马店,409
锡林郭勒,59
西宁,274
阳泉,84
南阳,568
宝鸡,123
拉萨,80
惠州,947
松原,76
孝感,66
株洲,149
信阳,492
大庆,186
抚顺,139
许昌,500
随州,65
襄阳,288
荆州,126
遵义,91
周口,445
三门峡,440
蚌埠,155
肇庆,255
玉林,50
清远,177
湛江,219
潮州,135
滁州,163
湖州,300
淮北,109
江门,342
汕头,257
揭阳,125
宿州,108
亳州,78
齐齐哈尔,147
焦作,464
漯河,416
濮阳,383
海东,23
阜阳,123
赣州,130
郴州,117
通化,106
邵阳,66
安阳,556
牡丹江,69
衡阳,103
安康,76
佳木斯,79
宜昌,233
岳阳,110
常德,100
安顺,39
四平,88
台州,302
六盘水,55
十堰,102
鸡西,57
双鸭山,44
公主岭,40
汉中,85
榆林,81
延安,67
铁岭,110
辽阳,115
营口,127
铜川,74
通辽,99
赤峰,211
鄂尔多斯,116
金昌,28
嘉峪关,38
陇南,38
天水,68
武威,37
定西,36
平凉,34
张掖,36
酒泉,36
白银,41
庆阳,36
自贡,61
绵阳,451
渭南,71
德阳,135
宜宾,82
商洛,52
南充,122
乐山,67
丹东,112
三亚,88
黄冈,50
汕尾,69
韶关,100
茂名,111
梅州,80
河源,99
阳江,78
云浮,66
鹤壁,222
朝阳,6914
顺德,221
克拉玛依,18
海宁,51
燕郊,73
晋江,32
海南,43
泰兴,4
黄石,66
慈溪,63
湘潭,80
义乌,87
萍乡,49
永州,27
白城,52
龙岩,38
益阳,40
鄂州,58
淮南,48
宁德,60
余姚,33
玉溪,15
恩施,44
象山,12
贺州,10
衢州,69
泸州,65
荆门,71
白山,50
章丘,9
安庆,42
巢湖,3
宁国,2
三明,28
惠东,5
梧州,16
贵港,10
防城港,14
黔南,29
毕节,20
铜仁,26
黔西南,42
临夏,20
甘南,21
济源,176
明港,2
禹州,3
灵宝,3
偃师,5
绥化,35
黑河,27
伊春,29
七台河,41
大兴安岭,33
咸宁,55
仙桃,29
枣阳,2
娄底,40
张家界,13
定州,7
张北,1
任丘,5
三河,5
如皋,19
宜春,56
吉安,54
抚州,58
景德镇,51
新余,34
鹰潭,46
延边,93
辽源,44
本溪,69
阜新,63
吴忠,18
石嘴山,24
中卫,24
固原,23
呼伦贝尔,85
巴彦淖尔市,10
乌兰察布,64
海拉尔,8
海西,10
海北,9
龙口,21
曹县,2
单县,1
滕州,13
临猗,2
攀枝花,28
广安,63
广元,33
巴音郭楞,16
伊犁,12
库尔勒,10
曲靖,23
大理,24
红河,15
西双版纳,6
舟山,60
乐清,28
瑞安,10
诸暨,7
东阳,6
安吉,1
黄山,31
池州,40
宣城,42
六安,62
阿拉善盟,33
兴安盟,44
潜江,25
天门,18
神农架,15
桐乡,25
丽水,105
启东,14
巴中,33
内江,35
甘孜,30
雅安,33
阿坝,27
资阳,31
简阳,23
达州,35
眉山,38
澄迈,27
保亭,4
儋州,15
五指山,6
定安,4
琼中,6
琼海,4
万宁,6
陵水,4
屯昌,6
白沙,4
文昌,8
东方,49
长兴,5
南平,16
昌吉,7
吐鲁番,13
阿克苏,8
克孜勒苏,5
哈密,10
博尔塔拉,8
喀什,16
百色,14
北海,16
河池,14
和田,14
黄南,8
来宾,7
崇左,7
湘西,11
钦州,19
山南,4
寿光,8
溧阳,16
怀化,28
武夷山,1
南安,5
博罗,1
长垣,3
东海,4
邳州,5
靖江,4
海安,6
泗洪,2
仁寿,2
文山,5
昭通,7
温岭,10
苍南,8
金坛,7
广饶,9
石狮,5
永康,9
邹城,5
丹阳,7
嘉善,14
三沙,1
新沂,2
肥城,7
莱州,2
海门,1
图木舒克,5
石河子,9
阿勒泰,9
五家渠,5
塔城,7
阿拉尔,5
德清,5
杞县,1
姜堰,4
莒县,1
建湖,1
改则,3
怒江,5
玉环,5
昌都,4
日喀则,4
保山,6
那曲,2
阿里,3
林芝,4
德宏,11
临沧,2
楚雄,6
桓台,3
临海,2
迪庆,3
果洛,6
诸城,6
垦利,6
瓦房店,1
仁怀,1
汝州,2
玉树,5
新泰,3
青州,1
长葛,2
荣成,2
